Crop,Nutrient Level (N-P-K mg/kg),Recommended Supplement,Proportion (N:P:K),Quantity (kg/acre),Application Frequency,Method of Application
Paddy,40-20-20,Urea SSP MOP,80:40:40,50 kg N 25 kg P 25 kg K,Basal + Top Dressing,Broadcasting + Foliar Spray
Paddy,40-20-20,Urea SSP MOP,80:40:40,50 kg N 25 kg P 25 kg K,Basal + Top Dressing,Broadcasting + Foliar Spray
Paddy,40-20-20,Urea SSP MOP,80:40:40,50 kg N 25 kg P 25 kg K,Basal + Top Dressing,Broadcasting + Foliar Spray
Paddy,40-20-20,Urea SSP MOP,80:40:40,50 kg N 25 kg P 25 kg K,Basal + Top Dressing,Broadcasting + Foliar Spray
Paddy,40-20-20,Urea SSP MOP,80:40:40,50 kg N 25 kg P 25 kg K,Basal + Top Dressing,Broadcasting + Foliar Spray
Paddy,40-20-20,Urea SSP MOP,80:40:40,50 kg N 25 kg P 25 kg K,Basal + Top Dressing,Broadcasting + Foliar Spray
Paddy,40-20-20,Urea SSP MOP,80:40:40,50 kg N 25 kg P 25 kg K,Basal + Top Dressing,Broadcasting + Foliar Spray
Paddy,40-20-20,Urea SSP MOP,80:40:40,50 kg N 25 kg P 25 kg K,Basal + Top Dressing,Broadcasting + Foliar Spray
Paddy,40-20-20,Urea SSP MOP,80:40:40,50 kg N 25 kg P 25 kg K,Basal + Top Dressing,Broadcasting + Foliar Spray
Paddy,40-20-20,Urea SSP MOP,80:40:40,50 kg N 25 kg P 25 kg K,Basal + Top Dressing,Broadcasting + Foliar Spray
Paddy,60-30-30,Urea SSP,60:30:30,40 kg N 20 kg P 20 kg K,Basal + Split Application,Broadcasting
Paddy,60-30-30,Urea SSP,60:30:30,40 kg N 20 kg P 20 kg K,Basal + Split Application,Broadcasting
Paddy,60-30-30,Urea SSP,60:30:30,40 kg N 20 kg P 20 kg K,Basal + Split Application,Broadcasting
Paddy,60-30-30,Urea SSP,60:30:30,40 kg N 20 kg P 20 kg K,Basal + Split Application,Broadcasting
Paddy,60-30-30,Urea SSP,60:30:30,40 kg N 20 kg P 20 kg K,Basal + Split Application,Broadcasting
Paddy,60-30-30,Urea SSP,60:30:30,40 kg N 20 kg P 20 kg K,Basal + Split Application,Broadcasting
Paddy,60-30-30,Urea SSP,60:30:30,40 kg N 20 kg P 20 kg K,Basal + Split Application,Broadcasting
Paddy,60-30-30,Urea SSP,60:30:30,40 kg N 20 kg P 20 kg K,Basal + Split Application,Broadcasting
Paddy,60-30-30,Urea SSP,60:30:30,40 kg N 20 kg P 20 kg K,Basal + Split Application,Broadcasting
Paddy,60-30-30,Urea SSP,60:30:30,40 kg N 20 kg P 20 kg K,Basal + Split Application,Broadcasting
Paddy,80-40-40,Compost MOP,40:20:20,30 kg N 15 kg P 15 kg K,Top Dressing Only,Drip Irrigation
Paddy,80-40-40,Compost MOP,40:20:20,30 kg N 15 kg P 15 kg K,Top Dressing Only,Drip Irrigation
Paddy,80-40-40,Compost MOP,40:20:20,30 kg N 15 kg P 15 kg K,Top Dressing Only,Drip Irrigation
Paddy,80-40-40,Compost MOP,40:20:20,30 kg N 15 kg P 15 kg K,Top Dressing Only,Drip Irrigation
Paddy,80-40-40,Compost MOP,40:20:20,30 kg N 15 kg P 15 kg K,Top Dressing Only,Drip Irrigation
Paddy,80-40-40,Compost MOP,40:20:20,30 kg N 15 kg P 15 kg K,Top Dressing Only,Drip Irrigation
Paddy,80-40-40,Compost MOP,40:20:20,30 kg N 15 kg P 15 kg K,Top Dressing Only,Drip Irrigation
Paddy,80-40-40,Compost MOP,40:20:20,30 kg N 15 kg P 15 kg K,Top Dressing Only,Drip Irrigation
Paddy,80-40-40,Compost MOP,40:20:20,30 kg N 15 kg P 15 kg K,Top Dressing Only,Drip Irrigation
Paddy,80-40-40,Compost MOP,40:20:20,30 kg N 15 kg P 15 kg K,Top Dressing Only,Drip Irrigation
Groundnut,30-15-20,Gypsum SSP MOP,20:40:20,30 kg N 40 kg P 20 kg K,At Sowing + Pod Formation,Side Dressing
Groundnut,30-15-20,Gypsum SSP MOP,20:40:20,30 kg N 40 kg P 20 kg K,At Sowing + Pod Formation,Side Dressing
Groundnut,30-15-20,Gypsum SSP MOP,20:40:20,30 kg N 40 kg P 20 kg K,At Sowing + Pod Formation,Side Dressing
Groundnut,30-15-20,Gypsum SSP MOP,20:40:20,30 kg N 40 kg P 20 kg K,At Sowing + Pod Formation,Side Dressing
Groundnut,30-15-20,Gypsum SSP MOP,20:40:20,30 kg N 40 kg P 20 kg K,At Sowing + Pod Formation,Side Dressing
Groundnut,30-15-20,Gypsum SSP MOP,20:40:20,30 kg N 40 kg P 20 kg K,At Sowing + Pod Formation,Side Dressing
Groundnut,30-15-20,Gypsum SSP MOP,20:40:20,30 kg N 40 kg P 20 kg K,At Sowing + Pod Formation,Side Dressing
Groundnut,30-15-20,Gypsum SSP MOP,20:40:20,30 kg N 40 kg P 20 kg K,At Sowing + Pod Formation,Side Dressing
Groundnut,30-15-20,Gypsum SSP MOP,20:40:20,30 kg N 40 kg P 20 kg K,At Sowing + Pod Formation,Side Dressing
Groundnut,30-15-20,Gypsum SSP MOP,20:40:20,30 kg N 40 kg P 20 kg K,At Sowing + Pod Formation,Side Dressing
Groundnut,40-20-30,SSP Organic Manure,30:20:20,25 kg N 20 kg P 20 kg K,Split into 2 Applications,Soil Application
Groundnut,40-20-30,SSP Organic Manure,30:20:20,25 kg N 20 kg P 20 kg K,Split into 2 Applications,Soil Application
Groundnut,40-20-30,SSP Organic Manure,30:20:20,25 kg N 20 kg P 20 kg K,Split into 2 Applications,Soil Application
Groundnut,40-20-30,SSP Organic Manure,30:20:20,25 kg N 20 kg P 20 kg K,Split into 2 Applications,Soil Application
Groundnut,40-20-30,SSP Organic Manure,30:20:20,25 kg N 20 kg P 20 kg K,Split into 2 Applications,Soil Application
Groundnut,40-20-30,SSP Organic Manure,30:20:20,25 kg N 20 kg P 20 kg K,Split into 2 Applications,Soil Application
Groundnut,40-20-30,SSP Organic Manure,30:20:20,25 kg N 20 kg P 20 kg K,Split into 2 Applications,Soil Application
Groundnut,40-20-30,SSP Organic Manure,30:20:20,25 kg N 20 kg P 20 kg K,Split into 2 Applications,Soil Application
Groundnut,40-20-30,SSP Organic Manure,30:20:20,25 kg N 20 kg P 20 kg K,Split into 2 Applications,Soil Application
Groundnut,40-20-30,SSP Organic Manure,30:20:20,25 kg N 20 kg P 20 kg K,Split into 2 Applications,Soil Application
Groundnut,50-25-35,Organic Compost,20:10:10,20 kg N 10 kg P 10 kg K,Single Application,Broadcasting
Groundnut,50-25-35,Organic Compost,20:10:10,20 kg N 10 kg P 10 kg K,Single Application,Broadcasting
Groundnut,50-25-35,Organic Compost,20:10:10,20 kg N 10 kg P 10 kg K,Single Application,Broadcasting
Groundnut,50-25-35,Organic Compost,20:10:10,20 kg N 10 kg P 10 kg K,Single Application,Broadcasting
Groundnut,50-25-35,Organic Compost,20:10:10,20 kg N 10 kg P 10 kg K,Single Application,Broadcasting
Groundnut,50-25-35,Organic Compost,20:10:10,20 kg N 10 kg P 10 kg K,Single Application,Broadcasting
Groundnut,50-25-35,Organic Compost,20:10:10,20 kg N 10 kg P 10 kg K,Single Application,Broadcasting
Groundnut,50-25-35,Organic Compost,20:10:10,20 kg N 10 kg P 10 kg K,Single Application,Broadcasting
Groundnut,50-25-35,Organic Compost,20:10:10,20 kg N 10 kg P 10 kg K,Single Application,Broadcasting
Groundnut,50-25-35,Organic Compost,20:10:10,20 kg N 10 kg P 10 kg K,Single Application,Broadcasting
Cotton,60-30-30,Urea DAP MOP,80:40:40,60 kg N 30 kg P 30 kg K,Basal + 3 Top Dressings,Soil Application + Foliar Spray
Cotton,60-30-30,Urea DAP MOP,80:40:40,60 kg N 30 kg P 30 kg K,Basal + 3 Top Dressings,Soil Application + Foliar Spray
Cotton,60-30-30,Urea DAP MOP,80:40:40,60 kg N 30 kg P 30 kg K,Basal + 3 Top Dressings,Soil Application + Foliar Spray
Cotton,60-30-30,Urea DAP MOP,80:40:40,60 kg N 30 kg P 30 kg K,Basal + 3 Top Dressings,Soil Application + Foliar Spray
Cotton,60-30-30,Urea DAP MOP,80:40:40,60 kg N 30 kg P 30 kg K,Basal + 3 Top Dressings,Soil Application + Foliar Spray
Cotton,60-30-30,Urea DAP MOP,80:40:40,60 kg N 30 kg P 30 kg K,Basal + 3 Top Dressings,Soil Application + Foliar Spray
Cotton,60-30-30,Urea DAP MOP,80:40:40,60 kg N 30 kg P 30 kg K,Basal + 3 Top Dressings,Soil Application + Foliar Spray
Cotton,60-30-30,Urea DAP MOP,80:40:40,60 kg N 30 kg P 30 kg K,Basal + 3 Top Dressings,Soil Application + Foliar Spray
Cotton,60-30-30,Urea DAP MOP,80:40:40,60 kg N 30 kg P 30 kg K,Basal + 3 Top Dressings,Soil Application + Foliar Spray
Cotton,60-30-30,Urea DAP MOP,80:40:40,60 kg N 30 kg P 30 kg K,Basal + 3 Top Dressings,Soil Application + Foliar Spray
Cotton,90-45-45,Compost MOP,60:30:30,40 kg N 25 kg P 25 kg K,Split into 2 Applications,Drip Irrigation
Cotton,90-45-45,Compost MOP,60:30:30,40 kg N 25 kg P 25 kg K,Split into 2 Applications,Drip Irrigation
Cotton,90-45-45,Compost MOP,60:30:30,40 kg N 25 kg P 25 kg K,Split into 2 Applications,Drip Irrigation
Cotton,90-45-45,Compost MOP,60:30:30,40 kg N 25 kg P 25 kg K,Split into 2 Applications,Drip Irrigation
Cotton,90-45-45,Compost MOP,60:30:30,40 kg N 25 kg P 25 kg K,Split into 2 Applications,Drip Irrigation
Cotton,90-45-45,Compost MOP,60:30:30,40 kg N 25 kg P 25 kg K,Split into 2 Applications,Drip Irrigation
Cotton,90-45-45,Compost MOP,60:30:30,40 kg N 25 kg P 25 kg K,Split into 2 Applications,Drip Irrigation
Cotton,90-45-45,Compost MOP,60:30:30,40 kg N 25 kg P 25 kg K,Split into 2 Applications,Drip Irrigation
Cotton,90-45-45,Compost MOP,60:30:30,40 kg N 25 kg P 25 kg K,Split into 2 Applications,Drip Irrigation
Cotton,90-45-45,Compost MOP,60:30:30,40 kg N 25 kg P 25 kg K,Split into 2 Applications,Drip Irrigation
Cotton,120-60-60,Vermicompost Biofertilizer,40:20:20,30 kg N 15 kg P 15 kg K,Top Dressing Only,Broadcasting
Cotton,120-60-60,Vermicompost Biofertilizer,40:20:20,30 kg N 15 kg P 15 kg K,Top Dressing Only,Broadcasting
Cotton,120-60-60,Vermicompost Biofertilizer,40:20:20,30 kg N 15 kg P 15 kg K,Top Dressing Only,Broadcasting
Cotton,120-60-60,Vermicompost Biofertilizer,40:20:20,30 kg N 15 kg P 15 kg K,Top Dressing Only,Broadcasting
Cotton,120-60-60,Vermicompost Biofertilizer,40:20:20,30 kg N 15 kg P 15 kg K,Top Dressing Only,Broadcasting
Cotton,120-60-60,Vermicompost Biofertilizer,40:20:20,30 kg N 15 kg P 15 kg K,Top Dressing Only,Broadcasting
Cotton,120-60-60,Vermicompost Biofertilizer,40:20:20,30 kg N 15 kg P 15 kg K,Top Dressing Only,Broadcasting
Cotton,120-60-60,Vermicompost Biofertilizer,40:20:20,30 kg N 15 kg P 15 kg K,Top Dressing Only,Broadcasting
Cotton,120-60-60,Vermicompost Biofertilizer,40:20:20,30 kg N 15 kg P 15 kg K,Top Dressing Only,Broadcasting
Cotton,120-60-60,Vermicompost Biofertilizer,40:20:20,30 kg N 15 kg P 15 kg K,Top Dressing Only,Broadcasting
Sugarcane,80-40-40,Urea SSP MOP,100:50:50,80 kg N 40 kg P 40 kg K,Monthly After Germination,Drip Irrigation + Foliar
Sugarcane,80-40-40,Urea SSP MOP,100:50:50,80 kg N 40 kg P 40 kg K,Monthly After Germination,Drip Irrigation + Foliar
Sugarcane,80-40-40,Urea SSP MOP,100:50:50,80 kg N 40 kg P 40 kg K,Monthly After Germination,Drip Irrigation + Foliar
Sugarcane,80-40-40,Urea SSP MOP,100:50:50,80 kg N 40 kg P 40 kg K,Monthly After Germination,Drip Irrigation + Foliar
Sugarcane,80-40-40,Urea SSP MOP,100:50:50,80 kg N 40 kg P 40 kg K,Monthly After Germination,Drip Irrigation + Foliar
Sugarcane,80-40-40,Urea SSP MOP,100:50:50,80 kg N 40 kg P 40 kg K,Monthly After Germination,Drip Irrigation + Foliar
Sugarcane,80-40-40,Urea SSP MOP,100:50:50,80 kg N 40 kg P 40 kg K,Monthly After Germination,Drip Irrigation + Foliar
Sugarcane,80-40-40,Urea SSP MOP,100:50:50,80 kg N 40 kg P 40 kg K,Monthly After Germination,Drip Irrigation + Foliar
Sugarcane,80-40-40,Urea SSP MOP,100:50:50,80 kg N 40 kg P 40 kg K,Monthly After Germination,Drip Irrigation + Foliar
Sugarcane,80-40-40,Urea SSP MOP,100:50:50,80 kg N 40 kg P 40 kg K,Monthly After Germination,Drip Irrigation + Foliar
Sugarcane,100-50-50,Organic Manure DAP,80:40:40,60 kg N 30 kg P 30 kg K,Split into 3 Applications,Broadcasting
Sugarcane,100-50-50,Organic Manure DAP,80:40:40,60 kg N 30 kg P 30 kg K,Split into 3 Applications,Broadcasting
Sugarcane,100-50-50,Organic Manure DAP,80:40:40,60 kg N 30 kg P 30 kg K,Split into 3 Applications,Broadcasting
Sugarcane,100-50-50,Organic Manure DAP,80:40:40,60 kg N 30 kg P 30 kg K,Split into 3 Applications,Broadcasting
Sugarcane,100-50-50,Organic Manure DAP,80:40:40,60 kg N 30 kg P 30 kg K,Split into 3 Applications,Broadcasting
Sugarcane,100-50-50,Organic Manure DAP,80:40:40,60 kg N 30 kg P 30 kg K,Split into 3 Applications,Broadcasting
Sugarcane,100-50-50,Organic Manure DAP,80:40:40,60 kg N 30 kg P 30 kg K,Split into 3 Applications,Broadcasting
Sugarcane,100-50-50,Organic Manure DAP,80:40:40,60 kg N 30 kg P 30 kg K,Split into 3 Applications,Broadcasting
Sugarcane,100-50-50,Organic Manure DAP,80:40:40,60 kg N 30 kg P 30 kg K,Split into 3 Applications,Broadcasting
Sugarcane,100-50-50,Organic Manure DAP,80:40:40,60 kg N 30 kg P 30 kg K,Split into 3 Applications,Broadcasting
Sugarcane,120-60-60,Vermicompost Biofertilizer,60:30:30,40 kg N 20 kg P 20 kg K,Top Dressing Only,Soil Application
Sugarcane,120-60-60,Vermicompost Biofertilizer,60:30:30,40 kg N 20 kg P 20 kg K,Top Dressing Only,Soil Application
Sugarcane,120-60-60,Vermicompost Biofertilizer,60:30:30,40 kg N 20 kg P 20 kg K,Top Dressing Only,Soil Application
Sugarcane,120-60-60,Vermicompost Biofertilizer,60:30:30,40 kg N 20 kg P 20 kg K,Top Dressing Only,Soil Application
Sugarcane,120-60-60,Vermicompost Biofertilizer,60:30:30,40 kg N 20 kg P 20 kg K,Top Dressing Only,Soil Application
Sugarcane,120-60-60,Vermicompost Biofertilizer,60:30:30,40 kg N 20 kg P 20 kg K,Top Dressing Only,Soil Application
Sugarcane,120-60-60,Vermicompost Biofertilizer,60:30:30,40 kg N 20 kg P 20 kg K,Top Dressing Only,Soil Application
Sugarcane,120-60-60,Vermicompost Biofertilizer,60:30:30,40 kg N 20 kg P 20 kg K,Top Dressing Only,Soil Application
Sugarcane,120-60-60,Vermicompost Biofertilizer,60:30:30,40 kg N 20 kg P 20 kg K,Top Dressing Only,Soil Application
Sugarcane,120-60-60,Vermicompost Biofertilizer,60:30:30,40 kg N 20 kg P 20 kg K,Top Dressing Only,Soil Application
Tomato,50-25-25,Urea DAP MOP,60:30:30,40 kg N 20 kg P 20 kg K,Basal + Weekly Foliar,Drip + Foliar Spray
Tomato,50-25-25,Urea DAP MOP,60:30:30,40 kg N 20 kg P 20 kg K,Basal + Weekly Foliar,Drip + Foliar Spray
Tomato,50-25-25,Urea DAP MOP,60:30:30,40 kg N 20 kg P 20 kg K,Basal + Weekly Foliar,Drip + Foliar Spray
Tomato,50-25-25,Urea DAP MOP,60:30:30,40 kg N 20 kg P 20 kg K,Basal + Weekly Foliar,Drip + Foliar Spray
Tomato,50-25-25,Urea DAP MOP,60:30:30,40 kg N 20 kg P 20 kg K,Basal + Weekly Foliar,Drip + Foliar Spray
Tomato,50-25-25,Urea DAP MOP,60:30:30,40 kg N 20 kg P 20 kg K,Basal + Weekly Foliar,Drip + Foliar Spray
Tomato,50-25-25,Urea DAP MOP,60:30:30,40 kg N 20 kg P 20 kg K,Basal + Weekly Foliar,Drip + Foliar Spray
Tomato,50-25-25,Urea DAP MOP,60:30:30,40 kg N 20 kg P 20 kg K,Basal + Weekly Foliar,Drip + Foliar Spray
Tomato,50-25-25,Urea DAP MOP,60:30:30,40 kg N 20 kg P 20 kg K,Basal + Weekly Foliar,Drip + Foliar Spray
Tomato,50-25-25,Urea DAP MOP,60:30:30,40 kg N 20 kg P 20 kg K,Basal + Weekly Foliar,Drip + Foliar Spray
Tomato,70-35-35,Compost SSP,50:25:25,35 kg N 15 kg P 15 kg K,Split into 3 Applications,Soil Application
Tomato,70-35-35,Compost SSP,50:25:25,35 kg N 15 kg P 15 kg K,Split into 3 Applications,Soil Application
Tomato,70-35-35,Compost SSP,50:25:25,35 kg N 15 kg P 15 kg K,Split into 3 Applications,Soil Application
Tomato,70-35-35,Compost SSP,50:25:25,35 kg N 15 kg P 15 kg K,Split into 3 Applications,Soil Application
Tomato,70-35-35,Compost SSP,50:25:25,35 kg N 15 kg P 15 kg K,Split into 3 Applications,Soil Application
Tomato,70-35-35,Compost SSP,50:25:25,35 kg N 15 kg P 15 kg K,Split into 3 Applications,Soil Application
Tomato,70-35-35,Compost SSP,50:25:25,35 kg N 15 kg P 15 kg K,Split into 3 Applications,Soil Application
Tomato,70-35-35,Compost SSP,50:25:25,35 kg N 15 kg P 15 kg K,Split into 3 Applications,Soil Application
Tomato,70-35-35,Compost SSP,50:25:25,35 kg N 15 kg P 15 kg K,Split into 3 Applications,Soil Application
