Crop,Nutrient Level (N-P-K mg/kg),Recommended Supplement,Proportion (N:P:K),Quantity (kg/acre),Application Frequency,Method of Application
Cauliflower,100-50-50,DAP MOP,40:20:20,30 kg N 10 kg P 10 kg K,Top Dressing,Broadcasting
Cauliflower,100-50-50,DAP MOP,40:20:20,30 kg N 10 kg P 10 kg K,Top Dressing,Broadcasting
Cauliflower,100-50-50,DAP MOP,40:20:20,30 kg N 10 kg P 10 kg K,Top Dressing,Broadcasting
Cauliflower,100-50-50,DAP MOP,40:20:20,30 kg N 10 kg P 10 kg K,Top Dressing,Broadcasting
Cauliflower,100-50-50,DAP MOP,40:20:20,30 kg N 10 kg P 10 kg K,Top Dressing,Broadcasting
Cauliflower,100-50-50,DAP MOP,40:20:20,30 kg N 10 kg P 10 kg K,Top Dressing,Broadcasting
Cauliflower,100-50-50,DAP MOP,40:20:20,30 kg N 10 kg P 10 kg K,Top Dressing,Broadcasting
Spinach,40-20-20,Urea SSP,50:25:25,30 kg N 15 kg P 15 kg K,Basal + Biweekly,Drip + Foliar Spray
Spinach,40-20-20,Urea SSP,50:25:25,30 kg N 15 kg P 15 kg K,Basal + Biweekly,Drip + Foliar Spray
Spinach,40-20-20,Urea SSP,50:25:25,30 kg N 15 kg P 15 kg K,Basal + Biweekly,Drip + Foliar Spray
Spinach,40-20-20,Urea SSP,50:25:25,30 kg N 15 kg P 15 kg K,Basal + Biweekly,Drip + Foliar Spray
Spinach,40-20-20,Urea SSP,50:25:25,30 kg N 15 kg P 15 kg K,Basal + Biweekly,Drip + Foliar Spray
Spinach,40-20-20,Urea SSP,50:25:25,30 kg N 15 kg P 15 kg K,Basal + Biweekly,Drip + Foliar Spray
Spinach,40-20-20,Urea SSP,50:25:25,30 kg N 15 kg P 15 kg K,Basal + Biweekly,Drip + Foliar Spray
Spinach,40-20-20,Urea SSP,50:25:25,30 kg N 15 kg P 15 kg K,Basal + Biweekly,Drip + Foliar Spray
Spinach,40-20-20,Urea SSP,50:25:25,30 kg N 15 kg P 15 kg K,Basal + Biweekly,Drip + Foliar Spray
Spinach,40-20-20,Urea SSP,50:25:25,30 kg N 15 kg P 15 kg K,Basal + Biweekly,Drip + Foliar Spray
Spinach,60-30-30,Compost MOP,40:20:20,25 kg N 10 kg P 10 kg K,Split into 2 Applications,Soil Application
Spinach,60-30-30,Compost MOP,40:20:20,25 kg N 10 kg P 10 kg K,Split into 2 Applications,Soil Application
Spinach,60-30-30,Compost MOP,40:20:20,25 kg N 10 kg P 10 kg K,Split into 2 Applications,Soil Application
Spinach,60-30-30,Compost MOP,40:20:20,25 kg N 10 kg P 10 kg K,Split into 2 Applications,Soil Application
Spinach,60-30-30,Compost MOP,40:20:20,25 kg N 10 kg P 10 kg K,Split into 2 Applications,Soil Application
Spinach,60-30-30,Compost MOP,40:20:20,25 kg N 10 kg P 10 kg K,Split into 2 Applications,Soil Application
Spinach,60-30-30,Compost MOP,40:20:20,25 kg N 10 kg P 10 kg K,Split into 2 Applications,Soil Application
Spinach,60-30-30,Compost MOP,40:20:20,25 kg N 10 kg P 10 kg K,Split into 2 Applications,Soil Application
Spinach,60-30-30,Compost MOP,40:20:20,25 kg N 10 kg P 10 kg K,Split into 2 Applications,Soil Application
Spinach,60-30-30,Compost MOP,40:20:20,25 kg N 10 kg P 10 kg K,Split into 2 Applications,Soil Application
Spinach,80-40-40,Biofertilizer,30:15:15,20 kg N 10 kg P 10 kg K,Top Dressing,Broadcasting
Spinach,80-40-40,Biofertilizer,30:15:15,20 kg N 10 kg P 10 kg K,Top Dressing,Broadcasting
Spinach,80-40-40,Biofertilizer,30:15:15,20 kg N 10 kg P 10 kg K,Top Dressing,Broadcasting
Spinach,80-40-40,Biofertilizer,30:15:15,20 kg N 10 kg P 10 kg K,Top Dressing,Broadcasting
Spinach,80-40-40,Biofertilizer,30:15:15,20 kg N 10 kg P 10 kg K,Top Dressing,Broadcasting
Spinach,80-40-40,Biofertilizer,30:15:15,20 kg N 10 kg P 10 kg K,Top Dressing,Broadcasting
Spinach,80-40-40,Biofertilizer,30:15:15,20 kg N 10 kg P 10 kg K,Top Dressing,Broadcasting
Spinach,80-40-40,Biofertilizer,30:15:15,20 kg N 10 kg P 10 kg K,Top Dressing,Broadcasting
Spinach,80-40-40,Biofertilizer,30:15:15,20 kg N 10 kg P 10 kg K,Top Dressing,Broadcasting
Spinach,80-40-40,Biofertilizer,30:15:15,20 kg N 10 kg P 10 kg K,Top Dressing,Broadcasting
Carrot,30-15-15,Urea DAP MOP,40:20:20,25 kg N 10 kg P 10 kg K,Basal + Monthly,Drip Irrigation
Carrot,30-15-15,Urea DAP MOP,40:20:20,25 kg N 10 kg P 10 kg K,Basal + Monthly,Drip Irrigation
Carrot,30-15-15,Urea DAP MOP,40:20:20,25 kg N 10 kg P 10 kg K,Basal + Monthly,Drip Irrigation
Carrot,30-15-15,Urea DAP MOP,40:20:20,25 kg N 10 kg P 10 kg K,Basal + Monthly,Drip Irrigation
Carrot,30-15-15,Urea DAP MOP,40:20:20,25 kg N 10 kg P 10 kg K,Basal + Monthly,Drip Irrigation
Carrot,30-15-15,Urea DAP MOP,40:20:20,25 kg N 10 kg P 10 kg K,Basal + Monthly,Drip Irrigation
Carrot,30-15-15,Urea DAP MOP,40:20:20,25 kg N 10 kg P 10 kg K,Basal + Monthly,Drip Irrigation
Carrot,30-15-15,Urea DAP MOP,40:20:20,25 kg N 10 kg P 10 kg K,Basal + Monthly,Drip Irrigation
Carrot,30-15-15,Urea DAP MOP,40:20:20,25 kg N 10 kg P 10 kg K,Basal + Monthly,Drip Irrigation
Carrot,30-15-15,Urea DAP MOP,40:20:20,25 kg N 10 kg P 10 kg K,Basal + Monthly,Drip Irrigation
Carrot,50-25-25,Organic Manure,50:25:25,30 kg N 15 kg P 15 kg K,Split into 2 Applications,Soil Application
Carrot,50-25-25,Organic Manure,50:25:25,30 kg N 15 kg P 15 kg K,Split into 2 Applications,Soil Application
Carrot,50-25-25,Organic Manure,50:25:25,30 kg N 15 kg P 15 kg K,Split into 2 Applications,Soil Application
Carrot,50-25-25,Organic Manure,50:25:25,30 kg N 15 kg P 15 kg K,Split into 2 Applications,Soil Application
Carrot,50-25-25,Organic Manure,50:25:25,30 kg N 15 kg P 15 kg K,Split into 2 Applications,Soil Application
Carrot,50-25-25,Organic Manure,50:25:25,30 kg N 15 kg P 15 kg K,Split into 2 Applications,Soil Application
Carrot,50-25-25,Organic Manure,50:25:25,30 kg N 15 kg P 15 kg K,Split into 2 Applications,Soil Application
Carrot,50-25-25,Organic Manure,50:25:25,30 kg N 15 kg P 15 kg K,Split into 2 Applications,Soil Application
Carrot,50-25-25,Organic Manure,50:25:25,30 kg N 15 kg P 15 kg K,Split into 2 Applications,Soil Application
Carrot,50-25-25,Organic Manure,50:25:25,30 kg N 15 kg P 15 kg K,Split into 2 Applications,Soil Application
Carrot,70-35-35,Compost,30:15:15,20 kg N 10 kg P 10 kg K,Top Dressing,Foliar Spray
Carrot,70-35-35,Compost,30:15:15,20 kg N 10 kg P 10 kg K,Top Dressing,Foliar Spray
Carrot,70-35-35,Compost,30:15:15,20 kg N 10 kg P 10 kg K,Top Dressing,Foliar Spray
Carrot,70-35-35,Compost,30:15:15,20 kg N 10 kg P 10 kg K,Top Dressing,Foliar Spray
Carrot,70-35-35,Compost,30:15:15,20 kg N 10 kg P 10 kg K,Top Dressing,Foliar Spray
Carrot,70-35-35,Compost,30:15:15,20 kg N 10 kg P 10 kg K,Top Dressing,Foliar Spray
Carrot,70-35-35,Compost,30:15:15,20 kg N 10 kg P 10 kg K,Top Dressing,Foliar Spray
Carrot,70-35-35,Compost,30:15:15,20 kg N 10 kg P 10 kg K,Top Dressing,Foliar Spray
Carrot,70-35-35,Compost,30:15:15,20 kg N 10 kg P 10 kg K,Top Dressing,Foliar Spray
Carrot,70-35-35,Compost,30:15:15,20 kg N 10 kg P 10 kg K,Top Dressing,Foliar Spray
Potato,60-30-30,Urea SSP MOP,60:30:30,40 kg N 20 kg P 20 kg K,Basal + Biweekly,Drip + Foliar Spray
Potato,60-30-30,Urea SSP MOP,60:30:30,40 kg N 20 kg P 20 kg K,Basal + Biweekly,Drip + Foliar Spray
Potato,60-30-30,Urea SSP MOP,60:30:30,40 kg N 20 kg P 20 kg K,Basal + Biweekly,Drip + Foliar Spray
Potato,60-30-30,Urea SSP MOP,60:30:30,40 kg N 20 kg P 20 kg K,Basal + Biweekly,Drip + Foliar Spray
Potato,60-30-30,Urea SSP MOP,60:30:30,40 kg N 20 kg P 20 kg K,Basal + Biweekly,Drip + Foliar Spray
Potato,60-30-30,Urea SSP MOP,60:30:30,40 kg N 20 kg P 20 kg K,Basal + Biweekly,Drip + Foliar Spray
Potato,60-30-30,Urea SSP MOP,60:30:30,40 kg N 20 kg P 20 kg K,Basal + Biweekly,Drip + Foliar Spray
Potato,60-30-30,Urea SSP MOP,60:30:30,40 kg N 20 kg P 20 kg K,Basal + Biweekly,Drip + Foliar Spray
Potato,60-30-30,Urea SSP MOP,60:30:30,40 kg N 20 kg P 20 kg K,Basal + Biweekly,Drip + Foliar Spray
Potato,60-30-30,Urea SSP MOP,60:30:30,40 kg N 20 kg P 20 kg K,Basal + Biweekly,Drip + Foliar Spray
Potato,80-40-40,DAP Compost,50:25:25,35 kg N 15 kg P 15 kg K,Split into 3 Applications,Soil Application
Potato,80-40-40,DAP Compost,50:25:25,35 kg N 15 kg P 15 kg K,Split into 3 Applications,Soil Application
Potato,80-40-40,DAP Compost,50:25:25,35 kg N 15 kg P 15 kg K,Split into 3 Applications,Soil Application
Potato,80-40-40,DAP Compost,50:25:25,35 kg N 15 kg P 15 kg K,Split into 3 Applications,Soil Application
Potato,80-40-40,DAP Compost,50:25:25,35 kg N 15 kg P 15 kg K,Split into 3 Applications,Soil Application
Potato,80-40-40,DAP Compost,50:25:25,35 kg N 15 kg P 15 kg K,Split into 3 Applications,Soil Application
Potato,80-40-40,DAP Compost,50:25:25,35 kg N 15 kg P 15 kg K,Split into 3 Applications,Soil Application
Potato,80-40-40,DAP Compost,50:25:25,35 kg N 15 kg P 15 kg K,Split into 3 Applications,Soil Application
Potato,80-40-40,DAP Compost,50:25:25,35 kg N 15 kg P 15 kg K,Split into 3 Applications,Soil Application
Potato,80-40-40,DAP Compost,50:25:25,35 kg N 15 kg P 15 kg K,Split into 3 Applications,Soil Application
Potato,100-50-50,Biofertilizer,40:20:20,30 kg N 10 kg P 10 kg K,Top Dressing,Broadcasting
Potato,100-50-50,Biofertilizer,40:20:20,30 kg N 10 kg P 10 kg K,Top Dressing,Broadcasting
Potato,100-50-50,Biofertilizer,40:20:20,30 kg N 10 kg P 10 kg K,Top Dressing,Broadcasting
Potato,100-50-50,Biofertilizer,40:20:20,30 kg N 10 kg P 10 kg K,Top Dressing,Broadcasting
Potato,100-50-50,Biofertilizer,40:20:20,30 kg N 10 kg P 10 kg K,Top Dressing,Broadcasting
Potato,100-50-50,Biofertilizer,40:20:20,30 kg N 10 kg P 10 kg K,Top Dressing,Broadcasting
Potato,100-50-50,Biofertilizer,40:20:20,30 kg N 10 kg P 10 kg K,Top Dressing,Broadcasting
Potato,100-50-50,Biofertilizer,40:20:20,30 kg N 10 kg P 10 kg K,Top Dressing,Broadcasting
Potato,100-50-50,Biofertilizer,40:20:20,30 kg N 10 kg P 10 kg K,Top Dressing,Broadcasting
Potato,100-50-50,Biofertilizer,40:20:20,30 kg N 10 kg P 10 kg K,Top Dressing,Broadcasting
Onion,50-25-25,Urea SSP MOP,60:30:30,40 kg N 20 kg P 20 kg K,Basal + Monthly,Drip Irrigation
Onion,50-25-25,Urea SSP MOP,60:30:30,40 kg N 20 kg P 20 kg K,Basal + Monthly,Drip Irrigation
Onion,50-25-25,Urea SSP MOP,60:30:30,40 kg N 20 kg P 20 kg K,Basal + Monthly,Drip Irrigation
Onion,50-25-25,Urea SSP MOP,60:30:30,40 kg N 20 kg P 20 kg K,Basal + Monthly,Drip Irrigation
Onion,50-25-25,Urea SSP MOP,60:30:30,40 kg N 20 kg P 20 kg K,Basal + Monthly,Drip Irrigation
Onion,50-25-25,Urea SSP MOP,60:30:30,40 kg N 20 kg P 20 kg K,Basal + Monthly,Drip Irrigation
Onion,50-25-25,Urea SSP MOP,60:30:30,40 kg N 20 kg P 20 kg K,Basal + Monthly,Drip Irrigation
Onion,50-25-25,Urea SSP MOP,60:30:30,40 kg N 20 kg P 20 kg K,Basal + Monthly,Drip Irrigation
Onion,50-25-25,Urea SSP MOP,60:30:30,40 kg N 20 kg P 20 kg K,Basal + Monthly,Drip Irrigation
Onion,50-25-25,Urea SSP MOP,60:30:30,40 kg N 20 kg P 20 kg K,Basal + Monthly,Drip Irrigation
Onion,70-35-35,Organic Compost,50:25:25,35 kg N 15 kg P 15 kg K,Split into 2 Applications,Soil Application + Foliar
Onion,70-35-35,Organic Compost,50:25:25,35 kg N 15 kg P 15 kg K,Split into 2 Applications,Soil Application + Foliar
Onion,70-35-35,Organic Compost,50:25:25,35 kg N 15 kg P 15 kg K,Split into 2 Applications,Soil Application + Foliar
Onion,70-35-35,Organic Compost,50:25:25,35 kg N 15 kg P 15 kg K,Split into 2 Applications,Soil Application + Foliar
Onion,70-35-35,Organic Compost,50:25:25,35 kg N 15 kg P 15 kg K,Split into 2 Applications,Soil Application + Foliar
Onion,70-35-35,Organic Compost,50:25:25,35 kg N 15 kg P 15 kg K,Split into 2 Applications,Soil Application + Foliar
Onion,70-35-35,Organic Compost,50:25:25,35 kg N 15 kg P 15 kg K,Split into 2 Applications,Soil Application + Foliar
Onion,70-35-35,Organic Compost,50:25:25,35 kg N 15 kg P 15 kg K,Split into 2 Applications,Soil Application + Foliar
Onion,70-35-35,Organic Compost,50:25:25,35 kg N 15 kg P 15 kg K,Split into 2 Applications,Soil Application + Foliar
Onion,70-35-35,Organic Compost,50:25:25,35 kg N 15 kg P 15 kg K,Split into 2 Applications,Soil Application + Foliar
Onion,90-45-45,DAP MOP,40:20:20,30 kg N 10 kg P 10 kg K,Top Dressing,Broadcasting
Onion,90-45-45,DAP MOP,40:20:20,30 kg N 10 kg P 10 kg K,Top Dressing,Broadcasting
Onion,90-45-45,DAP MOP,40:20:20,30 kg N 10 kg P 10 kg K,Top Dressing,Broadcasting
Onion,90-45-45,DAP MOP,40:20:20,30 kg N 10 kg P 10 kg K,Top Dressing,Broadcasting
Onion,90-45-45,DAP MOP,40:20:20,30 kg N 10 kg P 10 kg K,Top Dressing,Broadcasting
Onion,90-45-45,DAP MOP,40:20:20,30 kg N 10 kg P 10 kg K,Top Dressing,Broadcasting
Onion,90-45-45,DAP MOP,40:20:20,30 kg N 10 kg P 10 kg K,Top Dressing,Broadcasting
Onion,90-45-45,DAP MOP,40:20:20,30 kg N 10 kg P 10 kg K,Top Dressing,Broadcasting
Onion,90-45-45,DAP MOP,40:20:20,30 kg N 10 kg P 10 kg K,Top Dressing,Broadcasting
Onion,90-45-45,DAP MOP,40:20:20,30 kg N 10 kg P 10 kg K,Top Dressing,Broadcasting
Cucumber,40-20-20,Urea SSP,50:25:25,30 kg N 15 kg P 15 kg K,Basal + Weekly,Drip + Foliar Spray
Cucumber,40-20-20,Urea SSP,50:25:25,30 kg N 15 kg P 15 kg K,Basal + Weekly,Drip + Foliar Spray
Cucumber,40-20-20,Urea SSP,50:25:25,30 kg N 15 kg P 15 kg K,Basal + Weekly,Drip + Foliar Spray
Cucumber,40-20-20,Urea SSP,50:25:25,30 kg N 15 kg P 15 kg K,Basal + Weekly,Drip + Foliar Spray
Cucumber,40-20-20,Urea SSP,50:25:25,30 kg N 15 kg P 15 kg K,Basal + Weekly,Drip + Foliar Spray
Cucumber,40-20-20,Urea SSP,50:25:25,30 kg N 15 kg P 15 kg K,Basal + Weekly,Drip + Foliar Spray
Cucumber,40-20-20,Urea SSP,50:25:25,30 kg N 15 kg P 15 kg K,Basal + Weekly,Drip + Foliar Spray
Cucumber,40-20-20,Urea SSP,50:25:25,30 kg N 15 kg P 15 kg K,Basal + Weekly,Drip + Foliar Spray
Cucumber,40-20-20,Urea SSP,50:25:25,30 kg N 15 kg P 15 kg K,Basal + Weekly,Drip + Foliar Spray
Cucumber,40-20-20,Urea SSP,50:25:25,30 kg N 15 kg P 15 kg K,Basal + Weekly,Drip + Foliar Spray
Cucumber,60-30-30,Compost MOP,40:20:20,25 kg N 10 kg P 10 kg K,Split into 2 Applications,Soil Application
Cucumber,60-30-30,Compost MOP,40:20:20,25 kg N 10 kg P 10 kg K,Split into 2 Applications,Soil Application
Cucumber,60-30-30,Compost MOP,40:20:20,25 kg N 10 kg P 10 kg K,Split into 2 Applications,Soil Application
Cucumber,60-30-30,Compost MOP,40:20:20,25 kg N 10 kg P 10 kg K,Split into 2 Applications,Soil Application
Cucumber,60-30-30,Compost MOP,40:20:20,25 kg N 10 kg P 10 kg K,Split into 2 Applications,Soil Application
Cucumber,60-30-30,Compost MOP,40:20:20,25 kg N 10 kg P 10 kg K,Split into 2 Applications,Soil Application
Cucumber,60-30-30,Compost MOP,40:20:20,25 kg N 10 kg P 10 kg K,Split into 2 Applications,Soil Application
Cucumber,60-30-30,Compost MOP,40:20:20,25 kg N 10 kg P 10 kg K,Split into 2 Applications,Soil Application
Cucumber,60-30-30,Compost MOP,40:20:20,25 kg N 10 kg P 10 kg K,Split into 2 Applications,Soil Application
Cucumber,60-30-30,Compost MOP,40:20:20,25 kg N 10 kg P 10 kg K,Split into 2 Applications,Soil Application
Cucumber,80-40-40,Biofertilizer,30:15:15,20 kg N 10 kg P 10 kg K,Top Dressing,Broadcasting
Cucumber,80-40-40,Biofertilizer,30:15:15,20 kg N 10 kg P 10 kg K,Top Dressing,Broadcasting
Cucumber,80-40-40,Biofertilizer,30:15:15,20 kg N 10 kg P 10 kg K,Top Dressing,Broadcasting
Cucumber,80-40-40,Biofertilizer,30:15:15,20 kg N 10 kg P 10 kg K,Top Dressing,Broadcasting
Cucumber,80-40-40,Biofertilizer,30:15:15,20 kg N 10 kg P 10 kg K,Top Dressing,Broadcasting
Cucumber,80-40-40,Biofertilizer,30:15:15,20 kg N 10 kg P 10 kg K,Top Dressing,Broadcasting
Cucumber,80-40-40,Biofertilizer,30:15:15,20 kg N 10 kg P 10 kg K,Top Dressing,Broadcasting
Cucumber,80-40-40,Biofertilizer,30:15:15,20 kg N 10 kg P 10 kg K,Top Dressing,Broadcasting
Cucumber,80-40-40,Biofertilizer,30:15:15,20 kg N 10 kg P 10 kg K,Top Dressing,Broadcasting
Cucumber,80-40-40,Biofertilizer,30:15:15,20 kg N 10 kg P 10 kg K,Top Dressing,Broadcasting
